algorithm,min_utility_percent,min_utility_value,runtime_sec,n_itemsets,n_1itemsets,n_2itemsets,n_3itemsets,max_utility,avg_utility,timeout,status,timestamp
UP-Growth,0.05,451261.1041999988,300,-1,-1,-1,-1,0,0,True,timeout,2025-12-23 06:16:54
UP-Growth,0.01,90252.22083999975,300,-1,-1,-1,-1,0,0,True,timeout,2025-12-23 06:21:58
UP-Growth,0.005,45126.11041999987,300,-1,-1,-1,-1,0,0,True,timeout,2025-12-23 06:27:03
UP-Growth,0.001,9025.222083999975,300,-1,-1,-1,-1,0,0,True,timeout,2025-12-23 06:32:09
